Date,Open,High,Low,Close,Adj Close,Volume
2015-09-08,34.509998,35.110001,34.070000,34.820000,34.820000,1066000
2015-09-09,35.080002,35.349998,33.919998,33.990002,33.990002,1312500
2015-09-10,31.879999,31.879999,28.910000,30.240000,30.240000,13074800
2015-09-11,30.000000,32.889999,30.000000,32.250000,32.250000,7604500
2015-09-14,32.330002,32.330002,30.940001,31.090000,31.090000,2116000
2015-09-15,31.230000,33.080002,31.180000,32.980000,32.980000,1888200
2015-09-16,32.610001,32.970001,31.969999,32.180000,32.180000,2132600
2015-09-17,32.000000,32.869999,31.660000,31.879999,31.879999,2018100
2015-09-18,31.559999,32.470001,31.020000,31.260000,31.260000,2346400
2015-09-21,31.520000,32.169998,30.820000,31.010000,31.010000,1229600
2015-09-22,30.520000,30.570000,28.950001,29.420000,29.420000,1953100
2015-09-23,29.500000,29.600000,27.650000,27.660000,27.660000,5639300
2015-09-24,27.500000,27.500000,25.450001,25.600000,25.600000,4509700
2015-09-25,25.650000,26.139999,23.080000,23.570000,23.570000,7776000
2015-09-28,23.500000,23.510000,21.330000,21.620001,21.620001,5853000
2015-09-29,21.850000,23.139999,21.350000,22.740000,22.740000,5201900
2015-09-30,23.129999,24.080000,22.750000,23.830000,23.830000,3651300
2015-10-01,23.900000,26.809999,23.770000,26.629999,26.629999,6182600
2015-10-02,25.980000,28.160000,25.670000,27.379999,27.379999,4654900
2015-10-05,27.600000,28.209999,27.240000,27.549999,27.549999,2694600
2015-10-06,27.709999,28.580000,27.469999,28.170000,28.170000,1708000
2015-10-07,28.590000,29.799999,28.270000,29.180000,29.180000,2500400
2015-10-08,29.760000,29.889999,28.610001,29.469999,29.469999,2221100
2015-10-09,29.879999,30.260000,29.530001,29.920000,29.920000,1442700
2015-10-12,29.850000,29.980000,28.100000,28.250000,28.250000,1894900
2015-10-13,28.139999,28.670000,26.980000,27.309999,27.309999,1660500
2015-10-14,27.299999,28.100000,27.209999,27.379999,27.379999,1658300
2015-10-15,27.330000,28.840000,27.230000,28.770000,28.770000,1280100
2015-10-16,28.860001,28.950001,28.010000,28.830000,28.830000,1934300
2015-10-19,28.510000,29.070000,26.850000,27.870001,27.870001,2005000
2015-10-20,27.870001,28.170000,26.920000,26.930000,26.930000,1409000
2015-10-21,27.240000,28.690001,26.830000,26.889999,26.889999,1760800
2015-10-22,27.000000,27.639999,26.700001,27.580000,27.580000,1497600
2015-10-23,27.850000,28.540001,27.549999,28.360001,28.360001,975500
2015-10-26,28.299999,28.549999,27.750000,28.090000,28.090000,681900
2015-10-27,28.030001,28.030001,23.080000,25.040001,25.040001,3584800
2015-10-28,25.070000,25.350000,24.389999,25.209999,25.209999,1111700
2015-10-29,25.350000,26.410000,25.230000,26.020000,26.020000,1062200
2015-10-30,26.100000,27.889999,26.070000,27.760000,27.760000,1503200
2015-11-02,27.760000,28.950001,26.900000,28.930000,28.930000,1259000
2015-11-03,28.799999,29.480000,28.320000,28.549999,28.549999,1116100
2015-11-04,28.790001,28.889999,27.150000,27.950001,27.950001,1845100
2015-11-05,29.570000,31.910000,29.250000,31.459999,31.459999,3001400
2015-11-06,31.420000,33.599998,31.400000,33.500000,33.500000,5623000
2015-11-09,33.950001,34.139999,32.720001,33.500000,33.500000,1822000
2015-11-10,33.450001,33.880001,32.799999,32.980000,32.980000,1469800
2015-11-11,33.310001,33.310001,31.549999,32.250000,32.250000,1336000
2015-11-12,31.850000,32.230000,31.280001,31.700001,31.700001,1506100
2015-11-13,31.490000,32.320000,30.740000,30.930000,30.930000,1249700
2015-11-16,30.629999,31.129999,29.500000,31.049999,31.049999,1274700
2015-11-17,31.330000,31.830000,29.370001,29.600000,29.600000,1672800
2015-11-18,29.549999,30.670000,28.590000,30.500000,30.500000,1959300
2015-11-19,30.309999,31.799999,30.020000,31.510000,31.510000,1652800
2015-11-20,31.690001,32.279999,31.100000,31.200001,31.200001,1837300
2015-11-23,31.270000,31.309999,29.700001,29.940001,29.940001,1112800
2015-11-24,29.719999,31.170000,29.590000,31.010000,31.010000,911700
2015-11-25,31.030001,31.450001,30.459999,30.980000,30.980000,815200
2015-11-27,31.080000,31.110001,29.920000,30.480000,30.480000,590100
2015-11-30,30.260000,30.980000,30.020000,30.500000,30.500000,879100
2015-12-01,30.500000,31.240000,29.820000,30.860001,30.860001,913300
2015-12-02,30.680000,30.870001,29.990000,30.000000,30.000000,1001700
2015-12-03,30.010000,30.290001,28.980000,29.450001,29.450001,1387500
2015-12-04,29.420000,29.790001,28.309999,29.480000,29.480000,1387500
2015-12-07,29.480000,29.480000,27.920000,28.440001,28.440001,1551400
2015-12-08,27.990000,27.990000,26.590000,27.139999,27.139999,1771700
2015-12-09,26.770000,28.120001,26.680000,27.469999,27.469999,1483400
2015-12-10,27.260000,28.610001,27.040001,28.520000,28.520000,977600
2015-12-11,27.299999,27.809999,27.030001,27.219999,27.219999,1473600
2015-12-14,26.980000,27.540001,26.049999,26.389999,26.389999,1381700
2015-12-15,26.000000,27.330000,26.000000,27.170000,27.170000,1054200
2015-12-16,27.150000,28.660000,27.150000,28.620001,28.620001,1161400
2015-12-17,28.910000,29.129999,27.440001,27.490000,27.490000,1284800
2015-12-18,27.299999,27.330000,25.500000,26.090000,26.090000,3633900
2015-12-21,25.610001,26.430000,25.280001,25.450001,25.450001,1261500
2015-12-22,25.590000,26.570000,25.490000,26.530001,26.530001,750400
2015-12-23,26.870001,28.490000,26.760000,28.170000,28.170000,1378400
2015-12-24,28.330000,28.790001,27.820000,27.870001,27.870001,454600
2015-12-28,27.520000,27.670000,26.389999,26.959999,26.959999,678600
2015-12-29,27.000000,27.600000,26.080000,27.000000,27.000000,945700
2015-12-30,26.750000,26.990000,26.160000,26.370001,26.370001,1041800
2015-12-31,26.010000,27.709999,26.000000,27.250000,27.250000,935400
2016-01-04,26.010000,26.840000,25.200001,26.469999,26.469999,1089700
2016-01-05,26.200001,26.830000,25.940001,26.280001,26.280001,784500
2016-01-06,25.900000,26.230000,24.540001,24.879999,24.879999,1417400
2016-01-07,24.350000,24.530001,23.209999,23.280001,23.280001,1698900
2016-01-08,23.469999,23.590000,22.510000,23.250000,23.250000,1438200
2016-01-11,23.430000,23.459999,21.860001,22.580000,22.580000,1785700
2016-01-12,22.830000,23.080000,21.520000,22.969999,22.969999,2136500
2016-01-13,22.969999,23.170000,20.820000,21.000000,21.000000,1693900
2016-01-14,21.000000,21.400000,19.139999,20.860001,20.860001,3146800
2016-01-15,19.680000,22.360001,19.049999,21.459999,21.459999,3406700
2016-01-19,21.680000,22.000000,19.559999,19.969999,19.969999,2545800
2016-01-20,19.389999,20.000000,18.040001,19.559999,19.559999,2891100
2016-01-21,19.540001,21.719999,18.879999,20.570000,20.570000,2023700
2016-01-22,21.510000,22.559999,21.100000,21.340000,21.340000,1209000
2016-01-25,21.110001,21.889999,20.840000,21.150000,21.150000,1030300
2016-01-26,21.290001,22.840000,20.770000,22.309999,22.309999,1479100
2016-01-27,22.340000,22.740000,21.450001,21.650000,21.650000,801800
2016-01-28,22.209999,22.209999,21.020000,21.170000,21.170000,789100
2016-01-29,21.200001,22.920000,21.200001,22.850000,22.850000,1074700
2016-02-01,22.730000,22.990000,22.000000,22.809999,22.809999,840500
2016-02-02,22.340000,22.620001,20.719999,20.950001,20.950001,1513000
2016-02-03,21.299999,21.799999,20.230000,21.799999,21.799999,1303600
2016-02-04,21.690001,24.600000,21.610001,23.270000,23.270000,2309200
2016-02-05,23.270000,24.709999,23.000000,24.200001,24.200001,2007400
2016-02-08,23.530001,23.889999,22.080000,23.790001,23.790001,1062600
2016-02-09,23.250000,24.379999,22.500000,22.920000,22.920000,1505200
2016-02-10,22.600000,23.450001,22.120001,22.400000,22.400000,970500
2016-02-11,21.740000,22.680000,21.000000,22.469999,22.469999,1249500
2016-02-12,23.080000,23.500000,22.580000,23.180000,23.180000,1318800
2016-02-16,23.620001,25.090000,22.410000,24.950001,24.950001,1028900
2016-02-17,25.049999,27.000000,24.980000,25.870001,25.870001,1273700
2016-02-18,25.990000,26.500000,25.160000,26.410000,26.410000,1033500
2016-02-19,26.200001,26.200001,25.219999,26.010000,26.010000,1006100
2016-02-22,26.340000,27.459999,25.820000,27.219999,27.219999,1386200
2016-02-23,26.990000,27.059999,25.959999,26.809999,26.809999,1002600
2016-02-24,26.299999,27.870001,24.750000,27.549999,27.549999,2407800
2016-02-25,26.990000,26.990000,22.450001,25.820000,25.820000,5104200
2016-02-26,25.360001,25.590000,24.219999,25.010000,25.010000,2138800
2016-02-29,24.889999,25.170000,24.389999,24.760000,24.760000,1673400
2016-03-01,25.030001,25.340000,24.490000,24.730000,24.730000,1276700
2016-03-02,24.639999,24.990000,23.820000,24.250000,24.250000,1041000
2016-03-03,24.410000,24.910000,24.010000,24.450001,24.450001,897900
2016-03-04,24.520000,25.530001,23.900000,24.389999,24.389999,1472900
2016-03-07,24.860001,26.719999,24.400000,26.420000,26.420000,2370700
2016-03-08,26.440001,26.889999,25.049999,25.180000,25.180000,1348600
2016-03-09,25.500000,25.820000,24.320000,25.750000,25.750000,1073300
2016-03-10,25.959999,26.260000,25.090000,26.110001,26.110001,706700
2016-03-11,26.510000,27.650000,26.330000,27.370001,27.370001,955000
2016-03-14,27.500000,28.420000,27.209999,28.139999,28.139999,1167300
2016-03-15,28.160000,28.200001,27.139999,27.980000,27.980000,1282200
2016-03-16,27.990000,29.230000,27.879999,29.170000,29.170000,1321100
2016-03-17,29.629999,31.469999,29.500000,31.020000,31.020000,1866600
2016-03-18,31.150000,32.040001,31.150000,31.770000,31.770000,1375700
2016-03-21,31.650000,31.750000,30.910000,31.100000,31.100000,909200
2016-03-22,30.750000,31.500000,30.549999,31.170000,31.170000,710700
2016-03-23,31.100000,31.400000,30.799999,31.030001,31.030001,761200
2016-03-24,30.620001,32.029999,30.580000,32.009998,32.009998,859000
2016-03-28,32.000000,32.009998,31.080000,31.100000,31.100000,1055800
2016-03-29,31.030001,31.370001,30.299999,31.150000,31.150000,1882400
2016-03-30,31.240000,32.240002,30.889999,30.940001,30.940001,1010000
2016-03-31,30.900000,31.160000,30.430000,30.700001,30.700001,792900
2016-04-01,30.230000,30.309999,28.760000,29.959999,29.959999,1296500
2016-04-04,29.950001,31.110001,29.580000,29.600000,29.600000,826900
2016-04-05,29.400000,29.900000,28.840000,29.340000,29.340000,1121800
2016-04-06,29.450001,29.580000,28.290001,29.219999,29.219999,910000
2016-04-07,28.879999,30.150000,28.400000,28.570000,28.570000,1556600
2016-04-08,29.110001,29.840000,28.330000,28.510000,28.510000,902200
2016-04-11,28.629999,29.549999,28.459999,28.930000,28.930000,814600
2016-04-12,28.930000,30.480000,28.520000,30.190001,30.190001,1625600
2016-04-13,30.480000,31.980000,30.200001,31.870001,31.870001,924600
2016-04-14,31.820000,32.459999,31.670000,32.299999,32.299999,866600
2016-04-15,32.119999,32.740002,31.860001,32.259998,32.259998,764300
2016-04-18,31.820000,32.950001,31.680000,32.790001,32.790001,1592700
2016-04-19,33.020000,34.320000,33.000000,33.889999,33.889999,906500
2016-04-20,34.000000,34.470001,33.230000,33.669998,33.669998,1152400
2016-04-21,33.290001,33.689999,32.680000,32.830002,32.830002,982800
2016-04-22,33.189999,33.840000,32.900002,33.689999,33.689999,759200
2016-04-25,33.610001,33.820000,31.549999,31.760000,31.760000,822400
2016-04-26,31.950001,32.770000,31.320000,32.730000,32.730000,1199800
2016-04-27,32.830002,33.029999,32.150002,32.669998,32.669998,1649800
2016-04-28,32.169998,32.360001,30.850000,31.110001,31.110001,1452200
2016-04-29,31.160000,31.370001,29.850000,30.139999,30.139999,1073500
2016-05-02,30.629999,31.100000,29.400000,31.020000,31.020000,1104600
2016-05-03,30.600000,30.760000,29.469999,29.959999,29.959999,1046300
2016-05-04,30.600000,31.900000,27.120001,27.719999,27.719999,3173000
2016-05-05,28.330000,28.370001,25.740000,26.129999,26.129999,2790600
2016-05-06,26.010000,26.920000,25.670000,26.500000,26.500000,1526400
2016-05-09,26.389999,26.990000,26.260000,26.620001,26.620001,1105400
2016-05-10,26.620001,27.969999,26.469999,27.780001,27.780001,1224100
2016-05-11,27.799999,28.780001,27.600000,27.750000,27.750000,914200
2016-05-12,27.900000,28.139999,26.740000,27.180000,27.180000,923400
2016-05-13,26.930000,27.230000,25.770000,26.000000,26.000000,2323300
2016-05-16,26.209999,26.270000,25.330000,25.750000,25.750000,1289700
2016-05-17,25.760000,26.850000,25.500000,25.760000,25.760000,1478500
2016-05-18,25.750000,26.360001,25.400000,25.799999,25.799999,1367100
2016-05-19,25.490000,26.360001,25.490000,25.969999,25.969999,1084200
2016-05-20,26.190001,27.200001,25.870001,27.100000,27.100000,1775900
2016-05-23,26.830000,27.030001,26.410000,26.719999,26.719999,1242800
2016-05-24,26.840000,28.309999,26.719999,28.049999,28.049999,1513600
2016-05-25,28.160000,29.389999,28.110001,29.219999,29.219999,1017200
2016-05-26,29.420000,29.430000,28.969999,28.990000,28.990000,582700
2016-05-27,29.120001,29.760000,28.860001,29.360001,29.360001,506700
2016-05-31,29.430000,29.940001,29.110001,29.260000,29.260000,700400
2016-06-01,29.260000,29.980000,27.650000,28.490000,28.490000,1313100
2016-06-02,28.360001,28.610001,27.920000,28.270000,28.270000,753700
2016-06-03,27.680000,28.440001,27.410000,28.110001,28.110001,741600
2016-06-06,27.860001,29.379999,27.840000,29.230000,29.230000,748500
2016-06-07,29.139999,29.700001,28.700001,29.350000,29.350000,616200
2016-06-08,29.370001,30.070000,29.059999,30.040001,30.040001,917000
2016-06-09,29.799999,30.299999,29.620001,29.959999,29.959999,806900
2016-06-10,29.430000,29.879999,28.750000,28.969999,28.969999,1178000
2016-06-13,28.680000,29.469999,28.430000,28.700001,28.700001,1125700
2016-06-14,28.600000,29.139999,26.920000,27.240000,27.240000,2493400
2016-06-15,27.299999,28.730000,27.299999,27.540001,27.540001,818000
2016-06-16,27.400000,27.629999,26.469999,26.670000,26.670000,1258900
2016-06-17,26.809999,27.280001,26.680000,26.980000,26.980000,1336500
2016-06-20,27.540001,28.959999,27.520000,28.160000,28.160000,1179800
2016-06-21,27.580000,27.950001,26.650000,26.660000,26.660000,1465000
2016-06-22,26.750000,27.219999,26.010000,26.959999,26.959999,979400
2016-06-23,27.440001,28.430000,27.030001,28.420000,28.420000,953900
2016-06-24,26.290001,27.139999,23.350000,24.620001,24.620001,8780400
2016-06-27,24.129999,24.129999,22.230000,23.299999,23.299999,3502300
2016-06-28,24.260000,24.520000,23.500000,24.350000,24.350000,1287400
2016-06-29,25.100000,26.110001,24.820000,25.309999,25.309999,1460900
2016-06-30,25.510000,26.260000,24.940001,26.260000,26.260000,1104200
2016-07-01,26.129999,27.100000,26.129999,26.889999,26.889999,1196700
2016-07-05,26.340000,26.680000,25.530001,26.100000,26.100000,1206000
2016-07-06,25.650000,25.940001,24.980000,25.490000,25.490000,1313100
2016-07-07,26.420000,26.420000,24.400000,24.430000,24.430000,1798400
